num_total_cells,total_non_ran_equipment,has_shared_ran,ran_vendor_type,mast_group,ps_traffic_mb,kwh_expected,noise_std,kwh_expected_noise
24,7,1,Vendor B,Tower,58844229.93693719,4117.6,164.704,4054.661383410032
4,0,0,Vendor A,Disguised,0.0,1395.6599999999999,48.8481,1362.9822796739963
25,16,1,Vendor A,Rooftop,30003176.04039487,7591.66,227.7498,7732.255188361682
2,0,0,Vendor B,Rooftop,505098.1283875343,784.96,23.5488,809.6181742762642
18,4,1,Vendor B,Tower,12273080.069557237,2933.2,117.32799999999999,3044.5258720750576
27,0,1,Vendor B,Tower,28915821.563682072,2839.8,113.59200000000001,2746.0538739823855
18,0,0,Vendor A,Tower,12369802.898450729,3566.19,142.6476,3522.3532528321857
21,0,1,Vendor B,Tower,35550267.562730566,2315.4,92.616,2346.2844599249042
24,0,1,Vendor A,Tower,19060552.01454206,4648.929999999999,185.95719999999997,4833.925597564591
21,0,1,Vendor A,Tower,17590637.21486564,4185.13,167.4052,4105.67760407591
21,0,1,Vendor B,Rooftop,18640761.547096636,3063.0,91.89,3045.987219247651
22,0,1,Vendor B,Tower,14650080.647950985,2402.8,96.11200000000001,2298.7863851264706
18,0,1,Vendor B,Disguised,5696944.815822953,2399.88,83.99580000000002,2301.4779517031047
24,0,1,Vendor B,Rooftop,10391763.61418138,3432.0,102.96,3516.6856041208985
18,1,0,Vendor B,Tower,10996190.603288235,2453.4700000000003,98.13880000000002,2590.246254594386
18,0,1,Vendor B,Pole,3890844.2690908713,1685.82,33.7164,1683.3938254473546
16,0,1,Vendor B,Rooftop,6419211.855518761,2448.0,73.44,2522.820070920315
27,0,1,Vendor B,Tower,15688471.086276574,2839.8,113.59200000000001,2881.1775098063604
18,1,0,Vendor A,Pole,21326396.996216998,3512.0699999999997,70.2414,3467.046962365887
12,0,1,Vendor B,Tower,7931930.029372349,1528.8000000000002,61.15200000000001,1551.0605738900722
18,0,0,Vendor A,Tower,28041941.419565514,3566.19,142.6476,3792.4765981731744
21,0,1,Vendor B,Tower,14251544.660838835,2315.4,92.616,2312.0843118886587
22,2,1,Vendor A,Tower,12229827.44358532,4874.549999999999,194.98199999999997,5189.376415118302
3,0,0,Vendor A,Tower,1507599.9362724614,1138.74,45.5496,1025.4510697433857
16,0,0,Vendor A,Disguised,12227566.425163526,3164.94,110.7729,3257.3066917006504
12,0,1,Vendor B,Tower,0.0,1528.8000000000002,61.15200000000001,1534.1323802910606
27,0,1,Vendor B,Tower,22036851.353073362,2839.8,113.59200000000001,2806.0374644446633
18,0,1,Vendor B,Disguised,6094033.998347122,2399.88,83.99580000000002,2407.5999099343876
24,0,1,Vendor B,Tower,13934977.58806179,2577.6000000000004,103.10400000000001,2380.608141915636
17,0,1,Vendor B,Tower,2394332.8491118057,1965.8000000000002,78.632,1948.6024272318189
10,0,0,Vendor A,Tower,1195804.4970233804,2271.55,90.86200000000001,2304.230821416067
15,0,0,Vendor B,Tower,3971825.227014893,1922.9599999999998,76.91839999999999,2040.06450478308
27,0,1,Vendor B,Tower,5052654.396018306,2839.8,113.59200000000001,2781.5346796632502
24,0,0,Vendor B,Tower,59502167.23469728,2912.6,116.504,2819.9140589912486
24,0,1,Vendor A,Tower,70560069.51688986,4648.929999999999,185.95719999999997,4556.5547644294475
16,0,0,Vendor A,Disguised,1793446.5161663936,3164.94,110.7729,3267.9836443293366
21,1,1,Vendor B,Rooftop,6221491.509318029,3283.0,98.49,3315.5388909849444
5,1,0,Vendor A,Rooftop,3483255.1314186556,1338.93,40.1679,1317.8188471952533
24,0,1,Vendor B,Disguised,65387065.9226136,3039.84,106.39440000000002,3094.942236933803
16,0,0,Vendor A,Tower,13816985.007976014,3242.53,129.7012,3255.1455525300225
27,0,0,Vendor A,Tower,11691295.253558327,5022.660000000001,200.90640000000005,5221.086246607338
28,0,1,Vendor A,Rooftop,23473509.956780057,6019.6900000000005,180.5907,5894.231555326964
27,2,1,Vendor B,Tower,39356750.000142746,3279.8,131.192,3237.0938229535
14,0,1,Vendor B,Tower,3136964.912678467,1703.6000000000001,68.144,1677.0886319607282
18,1,0,Vendor A,Tower,7173860.290437159,3737.56,149.5024,3525.042151885258
5,0,0,Vendor B,Rooftop,1078479.6098168495,974.26,29.2278,982.9535018937297
21,1,1,Vendor B,Tower,48740112.55103247,2535.4,101.41600000000001,2562.013893597507
21,0,1,Vendor B,Tower,33171424.62988704,2315.4,92.616,2315.8736363371245
24,0,1,Vendor B,Tower,19442871.522774644,2577.6000000000004,103.10400000000001,2553.526252668466
21,0,1,Vendor B,Tower,8825186.670624902,2315.4,92.616,2187.9556815193014
15,0,0,Vendor B,Disguised,2246828.5621128054,1872.8700000000001,65.55045000000001,1845.4984938891457
3,0,0,Vendor B,Rooftop,212400.48935885745,848.06,25.441799999999997,839.3853959189764
24,2,1,Vendor B,Tower,39941755.47191231,3017.6000000000004,120.70400000000002,2922.299255471855
12,1,1,Vendor B,Rooftop,7753008.709179617,2176.0,65.28,2165.496699718087
27,0,1,Vendor B,Disguised,13758353.960892888,3359.8199999999997,117.5937,3407.671389673049
22,0,1,Vendor A,Tower,15478645.311942324,4339.73,173.58919999999998,4679.819637746811
24,1,0,Vendor A,Tower,31914704.719432574,4708.54,188.3416,4741.535335582088
15,0,0,Vendor A,Tower,25483507.97629969,3080.7000000000003,123.22800000000001,3112.601462083062
27,0,1,Vendor B,Tower,14480267.10233654,2839.8,113.59200000000001,2831.356118026496
24,0,1,Vendor B,Rooftop,8329272.020359773,3432.0,102.96,3240.021757847577
18,0,0,Vendor B,Tower,15464078.171714453,2252.84,90.1136,2250.4520057567884
13,1,0,Vendor A,Tower,3370860.2339080246,2928.41,117.1364,2935.4736554561355
19,1,1,Vendor A,Rooftop,10994791.238662733,4513.27,135.3981,4859.42058492341
24,0,1,Vendor A,Rooftop,20125788.038984377,5291.33,158.7399,5260.882577617718
24,4,1,Vendor B,Rooftop,35125599.95093007,4312.0,129.35999999999999,4351.18513958997
27,4,1,Vendor B,Rooftop,14474891.110979795,4681.0,140.43,4676.127963375769
21,0,0,Vendor B,Tower,2373974.6499790456,2582.72,103.30879999999999,2464.763810466923
28,0,1,Vendor A,Other,31133676.59815826,5641.25,183.34062500000002,5854.715550992333
6,0,0,Vendor B,Rooftop,791303.7153852622,1037.3600000000001,31.120800000000003,1061.026690434997
30,0,1,Vendor A,Rooftop,10742348.396516584,6383.87,191.5161,6537.1772225140885
6,0,0,Vendor A,Other,4568043.567797404,1230.77,40.000025,1194.9267632202132
3,0,0,Vendor B,Rooftop,5473969.649969819,848.06,25.441799999999997,884.511236524211
24,0,1,Vendor B,Tower,45061166.98091986,2577.6000000000004,103.10400000000001,2437.041225337214
15,0,0,Vendor A,Tower,2655662.8520296747,3080.7000000000003,123.22800000000001,3153.872704294674
21,1,1,Vendor B,Tower,18448039.64989675,2535.4,101.41600000000001,2767.569893968422
17,1,0,Vendor A,Tower,5850830.600596628,3575.73,143.0292,3436.8243745850327
33,0,0,Vendor B,Tower,19099519.03498253,3902.24,156.0896,3814.8404345087843
21,0,1,Vendor B,Tower,48014808.293985225,2315.4,92.616,2324.647729561976
27,1,0,Vendor B,Tower,45575071.47502944,3443.1099999999997,137.7244,3374.4626828318987
18,0,1,Vendor B,Other,4523442.979979182,2211.96,71.8887,2103.2472055303333
15,0,0,Vendor A,Tower,6679510.012583003,3080.7000000000003,123.22800000000001,3089.1604744624547
16,0,0,Vendor A,Tower,5118384.540983881,3242.53,129.7012,3107.6342355076395
15,0,0,Vendor B,Tower,2334726.395899645,1922.9599999999998,76.91839999999999,1959.7352013897844
29,0,1,Vendor A,Other,43039927.457532965,5850.04,190.12630000000001,5677.819176543673
24,0,1,Vendor A,Tower,72278832.44690163,4648.929999999999,185.95719999999997,4946.27348523057
8,0,0,Vendor B,Rooftop,0.0,1163.56,34.9068,1136.537855051098
18,1,1,Vendor B,Rooftop,6285455.8941707425,2914.0,87.42,2885.9809580477026
18,0,1,Vendor A,Tower,4407769.197533804,3721.33,148.8532,3844.416438678259
29,2,1,Vendor B,Tower,57184143.82247893,3454.6000000000004,138.18400000000003,3288.633416692322
20,0,1,Vendor B,Other,29363505.29893241,2404.4,78.143,2422.2402620284242
27,0,1,Vendor B,Disguised,31528858.36431751,3359.8199999999997,117.5937,3517.102149300272
18,0,1,Vendor A,Other,14606847.52088038,3553.35,115.483875,3372.4774254613308
4,0,0,Vendor B,Rooftop,1970639.6580311705,911.16,27.334799999999998,916.2209329504798
24,0,1,Vendor B,Rooftop,29821959.091704633,3432.0,102.96,3458.8621114365033
21,0,1,Vendor B,Tower,6310446.518084228,2315.4,92.616,2388.9534276560585
15,0,0,Vendor A,Other,12709245.6116623,3043.9100000000003,98.92707500000002,2923.9691028728603
18,0,0,Vendor B,Disguised,28069037.83951374,2218.89,77.66115,2118.6754154606683
21,0,1,Vendor B,Tower,30952181.819571614,2315.4,92.616,2364.248284738861
21,0,1,Vendor B,Rooftop,7933220.594939341,3063.0,91.89,3090.4118538010957
17,0,1,Vendor B,Rooftop,9530302.282334378,2571.0,77.13,2590.3932904916287
27,0,1,Vendor B,Disguised,15808895.317034341,3359.8199999999997,117.5937,3400.8081292190936
18,0,1,Vendor B,Pole,9246945.46434378,1685.82,33.7164,1663.0472259991625
24,1,1,Vendor B,Rooftop,13755512.065974226,3652.0,109.56,3677.534569229168
16,3,1,Vendor A,Tower,8580562.952091856,4214.360000000001,168.57440000000003,4264.055233323387
27,0,1,Vendor B,Disguised,19905528.688786052,3359.8199999999997,117.5937,3276.858213057891
5,0,0,Vendor A,Pole,2049252.807218742,1560.77,31.2154,1620.1111847527025
16,0,1,Vendor A,Pole,24907705.73191805,2996.1,59.922,3024.6279777362424
27,0,1,Vendor B,Disguised,38452713.49339002,3359.8199999999997,117.5937,3222.610607373309
18,2,1,Vendor A,Tower,18696485.902550716,4256.15,170.24599999999998,4369.406292878534
18,0,1,Vendor A,Tower,15538584.898736317,3721.33,148.8532,3579.037338743206
19,0,1,Vendor A,Rooftop,13331040.792139111,4380.88,131.4264,4485.554649624341
24,0,1,Vendor A,Rooftop,23707603.66601834,5291.33,158.7399,5478.47895463657
19,0,1,Vendor A,Other,26087930.61288847,3762.14,122.26955,3663.1219260502344
27,0,1,Vendor B,Tower,19837095.33640038,2839.8,113.59200000000001,2951.3676477589206
24,2,1,Vendor B,Disguised,14121820.91884501,3479.84,121.79440000000001,3530.4793261107097
3,0,0,Vendor B,Rooftop,394787.7105735574,848.06,25.441799999999997,869.2347203862988
21,0,0,Vendor B,Tower,7058164.096950707,2582.72,103.30879999999999,2786.300768005153
21,0,1,Vendor B,Tower,4775943.341593713,2315.4,92.616,2292.7843082625755
21,0,0,Vendor B,Other,27367375.741774343,2297.5299999999997,74.669725,2241.9324783491093
30,1,1,Vendor B,Tower,37707171.233055376,3322.0,132.88,3205.8793919674818
21,0,1,Vendor B,Tower,13136319.137319725,2315.4,92.616,2241.062418483293
27,1,0,Vendor B,Tower,66392974.25348306,3443.1099999999997,137.7244,3432.5075710436267
15,0,0,Vendor A,Tower,11254657.32092544,3080.7000000000003,123.22800000000001,3123.0276217515693
19,0,0,Vendor A,Other,36549497.67497257,3849.7500000000005,125.11687500000002,3884.524809200895
21,0,0,Vendor B,Tower,14381735.692230066,2582.72,103.30879999999999,2669.604775011765
25,0,1,Vendor A,Disguised,27343144.56874344,4535.6900000000005,158.74915000000004,4537.75450899253
21,0,1,Vendor A,Tower,8542940.392812915,4185.13,167.4052,4435.672015964868
20,6,0,Vendor A,Tower,39604471.19385233,4918.070000000001,196.72280000000003,4866.280578875702
18,0,1,Vendor B,Pole,7892037.940414917,1685.82,33.7164,1780.074959767441
18,0,1,Vendor B,Rooftop,2184825.640567504,2694.0,80.82,2745.0439847490734
24,0,1,Vendor B,Tower,41853096.435863666,2577.6000000000004,103.10400000000001,2490.7215090742034
16,2,1,Vendor A,Tower,8856171.861315748,3946.9500000000003,157.87800000000001,3781.449602451617
25,1,0,Vendor A,Tower,23360720.972725462,4870.37,194.8148,4965.275608247695
21,0,1,Vendor B,Disguised,11859415.208424477,2719.86,95.19510000000001,2698.6704098052332
21,2,1,Vendor B,Rooftop,8214366.381128454,3503.0,105.08999999999999,3578.843698655946
30,0,1,Vendor A,Tower,16061656.661772573,5576.53,223.06119999999999,5683.096394865594
4,0,1,Vendor B,Rooftop,990210.563306178,972.0,29.16,969.8786272099203
10,0,0,Vendor B,Rooftop,4371054.143707593,1289.76,38.6928,1257.4078538006027
27,0,1,Vendor B,Disguised,19644408.512175538,3359.8199999999997,117.5937,3186.323512540267
27,0,1,Vendor B,Tower,27558605.457270045,2839.8,113.59200000000001,2789.529738381993
30,0,0,Vendor A,Disguised,31963367.154595263,5229.099999999999,183.0185,5388.209480847366
20,0,0,Vendor A,Rooftop,1528066.7898877736,3988.16,119.64479999999999,4013.857640417523
24,0,1,Vendor A,Rooftop,20961904.4119397,5291.33,158.7399,5097.231089559352
18,0,1,Vendor B,Rooftop,4691566.865423354,2694.0,80.82,2708.032904332548
27,0,0,Vendor B,Tower,53026708.76681119,3242.4799999999996,129.6992,3292.842469625551
28,0,1,Vendor A,Tower,18336810.477307368,5267.33,210.6932,5084.360682052222
30,0,0,Vendor A,Disguised,71655303.31050189,5229.099999999999,183.0185,5257.310361462692
21,6,1,Vendor A,Tower,27782367.07989956,5789.59,231.58360000000002,5803.085890041381
20,0,0,Vendor A,Tower,8933754.033139277,3889.8500000000004,155.59400000000002,3716.014728806756
12,0,1,Vendor B,Pole,14748888.084290072,1283.8799999999999,25.677599999999998,1293.1000696252584
27,0,1,Vendor B,Tower,35026884.092044346,2839.8,113.59200000000001,2904.220454638259
18,0,0,Vendor B,Tower,3488278.384810873,2252.84,90.1136,2352.582573623698
24,6,1,Vendor A,Rooftop,67549078.50649518,6085.67,182.5701,6281.136206764685
24,2,1,Vendor B,Rooftop,48205951.57687166,3872.0,116.16,3715.231861150077
21,0,1,Vendor B,Tower,36572344.104679845,2315.4,92.616,2230.1513590739573
24,0,1,Vendor B,Tower,2422464.573358003,2577.6000000000004,103.10400000000001,2631.2529619481274
9,0,0,Vendor A,Tower,12648891.682786386,2109.7200000000003,84.38880000000002,2153.526380073619
21,0,1,Vendor B,Tower,15594481.843188344,2315.4,92.616,2363.5964209269655
18,0,0,Vendor B,Tower,18331985.97159355,2252.84,90.1136,2628.2044703211727
24,1,0,Vendor B,Tower,22406599.626405038,3113.23,124.5292,3185.140473851231
25,0,1,Vendor A,Disguised,26476273.584741917,4535.6900000000005,158.74915000000004,4719.590414978993
21,0,1,Vendor A,Disguised,6342644.619399514,4065.21,142.28235,4203.239190630969
15,0,0,Vendor A,Tower,27897989.74929753,3080.7000000000003,123.22800000000001,3162.0245218957452
16,0,1,Vendor A,Other,13839911.676980862,3135.77,101.912525,3103.8041598880695
27,0,1,Vendor B,Disguised,26899655.19448799,3359.8199999999997,117.5937,3450.2659803625547
24,0,1,Vendor A,Tower,37381509.791109584,4648.929999999999,185.95719999999997,4507.416165411858
16,0,0,Vendor B,Rooftop,2609880.3369181617,1668.3600000000001,50.0508,1656.5490447667564
15,0,0,Vendor A,Disguised,0.0,3017.5,105.61250000000001,2966.672486517496
20,0,1,Vendor A,Tower,4942068.9694194645,4030.5299999999997,161.22119999999998,4043.7514851380315
24,0,1,Vendor A,Disguised,22577007.272428986,4418.07,154.63245,4790.889046891496
15,0,1,Vendor B,Tower,9968714.561227133,1791.0,71.64,1662.1027462568193
27,0,1,Vendor B,Tower,11197220.987540867,2839.8,113.59200000000001,2918.8334550797085
18,0,1,Vendor A,Tower,12167377.08318824,3721.33,148.8532,3488.8511422588635
21,0,1,Vendor B,Disguised,9152449.21119363,2719.86,95.19510000000001,2675.303396295487
27,0,1,Vendor B,Disguised,26521883.354704402,3359.8199999999997,117.5937,3490.345302991941
20,1,1,Vendor B,Rooftop,5244222.822094354,3160.0,94.8,3166.099625180358
19,0,0,Vendor A,Tower,16677101.233241014,3728.0200000000004,149.12080000000003,3570.7207654540616
23,5,0,Vendor A,Tower,16773126.58788982,5232.1900000000005,209.28760000000003,5084.607202020249
19,0,1,Vendor A,Rooftop,9013939.556516107,4380.88,131.4264,4471.113800318827
18,3,1,Vendor B,Tower,36560809.99227548,2713.2,108.52799999999999,2635.081430209396
18,0,0,Vendor B,Disguised,10901477.765981363,2218.89,77.66115,2235.764262417284
24,1,1,Vendor A,Tower,9609595.386230873,4916.339999999999,196.65359999999998,4925.310039515948
24,1,1,Vendor B,Rooftop,16579206.866230937,3652.0,109.56,3581.3039011677697
18,0,0,Vendor A,Tower,19611716.536796756,3566.19,142.6476,3885.5151026357225
30,0,1,Vendor B,Rooftop,28001321.183207456,4170.0,125.1,4250.062150516111
24,0,1,Vendor B,Rooftop,21993902.092919566,3432.0,102.96,3229.698870774135
21,0,1,Vendor B,Tower,23465492.40943124,2315.4,92.616,2332.733209505088
19,0,0,Vendor A,Other,11027874.906736081,3849.7500000000005,125.11687500000002,3767.8334366314434
21,0,0,Vendor B,Tower,34596414.81927058,2582.72,103.30879999999999,2672.302447092062
23,2,0,Vendor A,Tower,29099141.747640837,4718.08,188.7232,4570.858796184863
16,1,1,Vendor B,Tower,20501352.16216294,2098.4,83.936,2088.791547706844
12,0,0,Vendor B,Other,1073316.7710863845,1601.83,52.059475,1628.336289416002
18,0,1,Vendor A,Tower,15156687.484898727,3721.33,148.8532,3852.457818530158
21,0,1,Vendor B,Tower,13277909.369172256,2315.4,92.616,2206.859805291447
27,5,1,Vendor A,Rooftop,26866643.740918666,6499.55,194.9865,6434.652941575597
21,1,1,Vendor B,Tower,32808989.542980395,2535.4,101.41600000000001,2487.6875969743214
4,0,1,Vendor B,Pole,0.0,747.96,14.959200000000001,738.2502918548319
24,6,0,Vendor B,Disguised,23178989.074655395,3383.5499999999997,118.42425,3599.21711079271
22,1,1,Vendor A,Other,35160451.278467506,4710.79,153.100675,4773.202808046594
4,0,0,Vendor B,Rooftop,0.0,911.16,27.334799999999998,877.3377117692502
12,0,0,Vendor B,Rooftop,982815.9654693247,1415.96,42.4788,1455.4914424028075
25,0,0,Vendor A,Other,6225028.86331003,5058.51,164.401575,5419.708598736064
3,0,0,Vendor B,Rooftop,2226752.0473312824,848.06,25.441799999999997,874.7388160206486
18,0,0,Vendor B,Tower,26666641.929020096,2252.84,90.1136,2120.001600990033
4,0,1,Vendor B,Rooftop,0.0,972.0,29.16,957.9818022956797
21,5,0,Vendor A,Rooftop,5278499.427778194,4526.89,135.8067,4702.256519264564
21,3,1,Vendor B,Tower,19405043.19390254,2975.4,119.016,2892.3568971909285
15,0,1,Vendor B,Tower,0.0,1791.0,71.64,1823.0791281351444
24,0,1,Vendor B,Tower,6582012.645910963,2577.6000000000004,103.10400000000001,2658.718116581977
21,2,1,Vendor B,Tower,23629287.35461829,2755.4,110.21600000000001,2655.108190988724
6,0,1,Vendor A,Tower,3056475.8911496135,1866.1299999999999,74.6452,1861.6920034548546
18,0,1,Vendor B,Pole,4300568.464212529,1685.82,33.7164,1580.0029995920024
8,0,0,Vendor B,Rooftop,57059.34392233611,1163.56,34.9068,1128.345772191021
25,1,0,Vendor A,Tower,24544461.26074201,4870.37,194.8148,4821.41369854446
27,4,1,Vendor B,Tower,30180876.64521797,3719.8,148.792,3538.6969852379552
21,3,1,Vendor B,Tower,18536164.40028147,2975.4,119.016,3176.1664029815997
18,1,1,Vendor B,Rooftop,6032925.945841376,2914.0,87.42,2791.6210997555795
18,0,1,Vendor B,Disguised,11971358.12823579,2399.88,83.99580000000002,2363.201290956217
4,0,0,Vendor B,Rooftop,0.0,911.16,27.334799999999998,914.7407852504591
19,0,1,Vendor A,Disguised,22801763.365904395,3829.9700000000003,134.04895000000002,4028.1271277996043
16,3,0,Vendor A,Tower,9080994.09932799,3756.6400000000003,150.2656,3546.9584259564854
33,0,1,Vendor B,Rooftop,23923073.24676749,4539.0,136.17,4700.183902015706
2,1,0,Vendor B,Rooftop,674813.4226245524,877.22,26.3166,877.4893407142123
27,1,0,Vendor B,Tower,44157009.136043906,3443.1099999999997,137.7244,3310.5514829893555
18,0,0,Vendor B,Disguised,21485224.699981686,2218.89,77.66115,2255.06927350738
5,0,0,Vendor B,Tower,3564614.2138446476,823.3599999999999,32.9344,829.9420814052252
21,0,1,Vendor A,Other,32168595.31685156,4179.72,135.8409,4098.976097231727
33,0,1,Vendor B,Tower,24130313.05061091,3364.2000000000003,134.568,3373.6062523827864
30,0,0,Vendor B,Tower,37630242.179510206,3572.3599999999997,142.8944,3517.7229741092324
22,4,1,Vendor A,Rooftop,9746480.069638561,5456.709999999999,163.70129999999997,5475.324615225373
15,0,0,Vendor B,Tower,335863.5183948756,1922.9599999999998,76.91839999999999,1974.5704727314333
16,0,1,Vendor A,Tower,15644182.227578385,3412.13,136.48520000000002,3635.6117906610507
27,0,1,Vendor B,Tower,28682522.784596194,2839.8,113.59200000000001,2702.618200945838
24,1,1,Vendor A,Tower,9207718.656325176,4916.339999999999,196.65359999999998,5354.223486623754
21,0,1,Vendor B,Tower,11036246.918183368,2315.4,92.616,2141.4837861980295
27,1,1,Vendor B,Tower,15288530.950122973,3059.8,122.39200000000001,3041.278999777289
18,1,0,Vendor B,Tower,16148997.30340954,2453.4700000000003,98.13880000000002,2511.8914555502824
24,0,1,Vendor B,Rooftop,16893359.901954614,3432.0,102.96,3461.053206377751
24,0,1,Vendor B,Other,5265907.633280646,2789.2799999999997,90.65159999999999,2733.398655358966
21,0,1,Vendor B,Tower,15155359.15132735,2315.4,92.616,2296.2045604818964
21,0,1,Vendor B,Tower,32372974.271325395,2315.4,92.616,2270.18748683746
18,5,1,Vendor A,Rooftop,25570937.777452882,4860.74,145.82219999999998,4775.552848339368
18,0,1,Vendor B,Disguised,11143406.30566843,2399.88,83.99580000000002,2472.3146312241765
16,0,0,Vendor A,Tower,14208395.49321152,3242.53,129.7012,3289.167550919068
8,0,0,Vendor B,Rooftop,1755238.6896970947,1163.56,34.9068,1139.6224041571961
4,0,1,Vendor B,Tower,3544558.2656540656,829.6,33.184000000000005,859.9959259188311
18,0,1,Vendor B,Tower,2158027.4941043984,2053.2,82.128,2078.5936444135364
10,0,0,Vendor A,Tower,2628022.3741162275,2271.55,90.86200000000001,2346.6221299682693
27,0,1,Vendor B,Tower,7179989.753049163,2839.8,113.59200000000001,2912.2290392647296
21,0,1,Vendor B,Tower,10515318.567060716,2315.4,92.616,2239.880818338586
27,0,1,Vendor A,Tower,18901507.505794846,5112.73,204.5092,4999.441801611275
6,0,0,Vendor B,Rooftop,395424.61320308456,1037.3600000000001,31.120800000000003,1060.879024017353
21,1,1,Vendor B,Rooftop,9018888.25990126,3283.0,98.49,3343.669131783221
28,0,1,Vendor A,Tower,17923800.4883276,5267.33,210.6932,5262.928016708357
30,1,0,Vendor B,Disguised,26065358.817285713,3681.7400000000002,128.86090000000002,3696.8899973353145
27,0,1,Vendor B,Rooftop,15056014.064650983,3801.0,114.03,3949.520333099
24,0,1,Vendor A,Tower,15551339.43595463,4648.929999999999,185.95719999999997,4540.214374721631
